Número de Registro,NIT Productor SDV,Nombre Comercial,Nombre Técnico,Partida Arancelaria,Fecha de Aprobacion,Fecha de Vencimiento
202105110079060,900800050,CALCO AKT VER GUARDDPRN IZQ MP       CALCO VER CBTA TRAS IZQ MP        CALCO AKT GAURDPRN IZQ MP    CALCO CBTA TRAS IZQ MP,CALCOMANIA DECORATIVA ADHESIVA PARA MOTO,4908909000,05/19/2021 02:29:28 PM,05/19/2022 12:00:00 AM
202105110079062,901160731,CALZADO MOCASIN PARA DAMA,CALZADO DE CALLE PARA MUJER TIPO MOCASIN EN CUERO PARA DAMA,6402999000,05/13/2021 08:44:55 AM,05/13/2022 12:00:00 AM
202105110079063,900800050,CALCO PRO VER CBTA FARL DER MP      CALCO PRO VER CBTA FARL IZQ MP         CALCO 125 VER CBTA TRAS DER MP         CALCO 125 VER CBTA TRAS IZQ MP          CALCO AKT VER GUARDDPRN DER MP      CALCO AKT VER GUARDDPRN IZQ MP         CALCO VER CBTA TRAS D,CALCOMANIA DECORATIVA ADHESIVA PARA MOTO,4908909000,05/19/2021 02:43:26 PM,05/19/2022 12:00:00 AM
202105110079065,810004818,SISTEMA ELECTRICO 125BR AHO MP,JUEGO DE CABLES PARA SISTEMAS ELECTRICOS DE MOTOCICLETAS,8544300000,05/11/2021 03:30:00 PM,05/11/2022 12:00:00 AM
202105110079068,900800050,CALCO PRO VER CBTA FARL IZQ MP       CALCO PRO CBTA FAROLA IZQ MP,CALCOMANIA DECORATIVA ADHESIVA PARA MOTO,4908909000,05/19/2021 02:55:02 PM,05/19/2022 12:00:00 AM
202105110079070,900800050,CALCO 125 VER CBTA TRAS DER MP         CALCO 125 VER CBTA TRAS IZQ MP      CALCO 125 CUBTA TRAS DER MP         CALCO 125 CUBTA TRAS IZQ MP,CALCOMANIA DECORATIVA ADHESIVA PARA MOTO,4908909000,05/19/2021 03:56:36 PM,05/19/2022 12:00:00 AM
202105110079071,901160731,BOTAS PARA OPERARIO MASCULINO,BOTA EN CUERO NEGRO,6403919000,05/13/2021 08:54:55 AM,05/13/2022 12:00:00 AM
202105110079072,900800050,CALCO AKT VER GUARDDPRN DER MP    CALCO AKT GAURDPRN DER MP,CALCOMANIA DECORATIVA ADHESIVA PARA MOTO,4908909000,05/19/2021 05:30:03 PM,05/19/2022 12:00:00 AM
202105110079075,900800050,CALCO VER CBTA TRAS DER MP    CALCO CBTA TRAS DER MP,CALCOMANIA DECORATIVA ADHESIVA PARA MOTO,4908909000,05/19/2021 05:55:33 PM,05/19/2022 12:00:00 AM
202105110079078,901160731,CAMIBUSO FEMENINO MANGA CORTA,CAMIBUSO FEMENINO MANGA CORTA EN POLIESTER 65%,6105209000,05/13/2021 02:41:19 PM,05/13/2022 12:00:00 AM
202105110079084,901160731,OVEROL PARA OPERARIO,OVEROL ENTERIZO EN DRIL TEJIDO DIAGONAL ALGODON 55%,6211330000,05/13/2021 02:25:10 PM,05/13/2022 12:00:00 AM
202105110079085,800006050,CAL ADVERTENCIA CAMBIO MARCHAS,calcomania decorativa adhesiva automotriz de alto rendimiento para motos Auteco Mobiliy,4908909000,05/19/2021 06:39:26 PM,05/19/2022 12:00:00 AM
202105110079087,800006854,SUZUKI:CALC TAPA LATERAL INFERIOR KKS/CALC TAPA LATERAL SUPERIOR LH KKS/CALC TAPA LATERAL SUPERIOR RH KKS,CALCOMANIA DECORATIVA ADHESIVA AUTOMOTRIZ,4908909000,05/19/2021 06:54:12 PM,05/19/2022 12:00:00 AM
202105110079088,800006854,SUZUKI:CALC EMBLEMA GENERAL WARNING/CALC EMBLEMA LOADING CAPACITY FW110,CALCOMANIA DECORATIVA ADHESIVA AUTOMOTRIZ,4908909000,05/19/2021 07:01:23 PM,05/19/2022 12:00:00 AM
202105110079089,800006854,FANALCA:CALC SIGLAS NUMERICAS GRIS 16.6X5CM/CALC. HONDA DIO SPORT DER/CALC EMBLEMA KROMEX DIO SPORT D-I/CALC  DIO SPORT LAT DER/CALC DIO SPORT LAT IZQ/CALC. HONDA DIO SPORT IZQ/CALC MOTO SCOOTER DIO SPORT DER,CALCOMANIA DECORATIVA ADHESIVA AUTOMOTRIZ,4908909000,05/19/2021 08:20:37 PM,05/19/2022 12:00:00 AM
202105110079092,800006854,FANALCA:CALC  MOTO SCOOTER DIO SPORT IZQ/CALC  COBERTOR FR. DIO SPORT DER/CALC. COBERTOR FR. DIO SPORT IZQ/CALC COLA WAVE MAX/CALC ESCUDO POLICIA NUEVO ARTE 12CM/CALC NEG ESPECIALES COLA- HONDA,CALCOMANIA DECORATIVA ADHESIVA AUTOMOTRIZ,4908909000,05/19/2021 08:33:23 PM,05/19/2022 12:00:00 AM
202105110079094,800006854,FANALCA:CALC NEG ESPECIALES REMEMBER BLANCA/CALC ALA DER K52 VINILO TRANSPARENTE/CALC ALA IZQ K52 VINILO TRANSPARENTE/CALC STICKER EURO III/CALC TANQUE DER ALA DORADA INVICTA,CALCOMANIA DECORATIVA ADHESIVA AUTOMOTRIZ,4908909000,05/19/2021 08:44:45 PM,05/19/2022 12:00:00 AM
202105120078558,860025792,DUSTER,VEHICULO MARCA,8703229090,05/19/2021 01:18:47 PM,05/19/2022 12:00:00 AM
202105120078560,860025792,DUSTER,VEHICULO MARCA,8703221090,05/19/2021 01:16:22 PM,05/19/2022 12:00:00 AM
202105120078561,860025792,DUSTER,VEHICULO MARCA,8703221090,05/19/2021 01:06:43 PM,05/19/2022 12:00:00 AM
202105120078562,860025792,DUSTER,VEHICULO MARCA,8703229090,05/19/2021 12:57:07 PM,05/19/2022 12:00:00 AM
202105120078745,901003427,INT LIF TAPA LATERAL INF IZQ NEGRO SIN P,INT LIF TAPA LATERAL INF IZQ NEGRO SIN P,8714109000,05/13/2021 09:32:10 AM,05/13/2022 12:00:00 AM
202105120078747,901003427,INT LIF CARENAJE FRONTAL NEGRO,INT LIF CARENAJE FRONTAL NEGRO,8714109000,05/13/2021 09:46:38 AM,05/13/2022 12:00:00 AM
202105120078751,901003427,INT LIF COMPLEMENTO CARENAJE FRON NEGRO,INT LIF COMPLEMENTO CARENAJE FRON NEGRO,8714109000,05/13/2021 10:21:37 AM,05/13/2022 12:00:00 AM
202105120078752,901003427,INT LIF CUB SWITCH NEGRO,INT LIF CUB SWITCH NEGRO,8714109000,05/13/2021 10:44:56 AM,05/13/2022 12:00:00 AM
202105120078753,901003427,INT LIF ENFOCADOR DER NEGRO,INT LIF ENFOCADOR DER NEGRO,8714109000,05/13/2021 10:51:19 AM,05/13/2022 12:00:00 AM
202105120078756,901003427,INT LIF ENFOCADOR IZQ NEGRO,INT LIF ENFOCADOR IZQ NEGRO,8714109000,05/13/2021 11:21:56 AM,05/13/2022 12:00:00 AM
202105120078757,901003427,INT LIF CUB VELOCIMETRO SUPERIOS NEGRO,INT LIF CUB VELOCIMETRO SUPERIOS NEGRO,8714109000,05/13/2021 11:33:39 AM,05/13/2022 12:00:00 AM
202105120079076,890203224,ALAMBRE BRILLANTE,ALAMBRE DE HIERRO O ACERO SIN ALEAR,7217100000,05/19/2021 12:52:07 PM,05/19/2022 12:00:00 AM
202105120079082,890203224,ALAMBRE RECOCIDO,ALAMBRE DE HIERRO O ACERO SIN ALEAR,7217100000,05/19/2021 12:46:42 PM,05/19/2022 12:00:00 AM
202105120079086,890203224,ALAMBRE DE PUAS,ALAMBRE DE PUAS,7313001000,05/19/2021 12:17:58 PM,05/19/2022 12:00:00 AM
202105120079090,890203224,GRAPAS,GRAPAS,7317000000,05/19/2021 12:11:50 PM,05/19/2022 12:00:00 AM
202105120079091,860002445,TUBO EN ACERO HOT ROLLED,TUBO EN ACERO HOT ROLLED DECAPADO Y SIN DECAPAR LAMINADO EN CALIENTE,7306500000,05/19/2021 12:02:12 PM,05/19/2022 12:00:00 AM
202105120079093,860002445,TUBO EN ACERO HOT ROLLED,TUBO EN ACERO HOT ROLLED DECAPADO Y SIN DECAPAR LAMINADO EN CALIENTE,7306500000,05/19/2021 11:52:17 AM,05/19/2022 12:00:00 AM
202105120079095,890203224,PUNTILLAS,PUNTILLAS,7317000000,05/19/2021 11:36:39 AM,05/19/2022 12:00:00 AM
202105120079096,830071528,TOP CASE 37 L ALUMI,TOP CASE 37 L ALUMI,8714109000,05/13/2021 11:53:54 AM,05/13/2022 12:00:00 AM
202105120079099,805025631,CIERRES DE CREMALLERA CON DIENTES DE POLIESTER. VARIOS DISENOS Y PRESENTACIONES,CIERRE PLASTICO PARA CONFECCIONES COMP. 100% POLIESTER,9607190000,05/13/2021 11:44:37 AM,05/13/2022 12:00:00 AM
202105120079101,900450642,OVEROL ENTERIZO ALGODON 60%,OVEROL ENTERIZO ALGODON 60%,6211320000,05/13/2021 03:04:01 PM,05/13/2022 12:00:00 AM
202105120079102,890900308,TELA TEÑIDA DE  ALGODÓN. LIGAMENTO TAFETAN,TEJIDO PLANO  LIGAMENTO TAFETAN EN   ALGODÓN 100% TEÑIDO,5209310000,05/20/2021 10:35:43 AM,05/20/2022 12:00:00 AM
202105120079103,890900308,TELA  CRUDA DE  POLIESTER/ALGODÓN. LIGAMENTO FANTASIA,TEJIDO PLANO LIGAMENTO FANTASIA  CRUDA,5514191000,05/20/2021 10:52:21 AM,05/20/2022 12:00:00 AM
202105120079104,890900308,TELA BLANQUEADA  DE  POLIESTER/ALGODÓN/POLIESTER FILAMENTO TEX. LIGAMENTO SARGA,TEJIDO PLANO  LIGAMENTO SARGA  POLIESTER FIBRA 49% - ALGODÓN 26% - POLIESTER FILAMENTO  TEXTURADO 25% BLANQUEADA,5514120000,05/20/2021 11:06:35 AM,05/20/2022 12:00:00 AM
202105120079106,890900308,TELA ESTAMPADA DE  ALGODÓN. LIGAMENTO SARGA,TEJIDO PLANO  LIGAMENTO SARGA EN   ALGODÓN 100%  ESTAMPADO,5208591000,05/20/2021 11:23:29 AM,05/20/2022 12:00:00 AM
202105120079107,890900308,TELA  BLANQUEADA DE  ALGODÓN. LIGAMENTO SARGA,TEJIDO PLANO LIGAMENTO SARGA EN  ALGODÓN 100% BLANQUEADA,5209220000,05/20/2021 11:33:24 AM,05/20/2022 12:00:00 AM
202105120079108,890900308,TELA  TEÑIDA DE  POLIESTER/ALGODÓN. LIGAMENTO TAFETAN,TEJIDO PLANO LIGAMENTO TAFETAN EN  POLIESTER 50% ALGODÓN 50% TEÑIDA,5513210090,05/20/2021 11:48:10 AM,05/20/2022 12:00:00 AM
202105120079123,890900308,TELA  CRUDA DE ALGODÓN/ POLIESTER. LIGAMENTO FANTASIA,TEJIDO PLANO LIGAMENTO FANTASIA EN  ALGODÓN 60% POLIESTER 40% CRUDA,5211190000,05/20/2021 12:00:21 PM,05/20/2022 12:00:00 AM
202105120079124,860025792,DUSTER,VEHICULO MARCA RENAULT,8703229090,05/19/2021 11:26:02 AM,05/19/2022 12:00:00 AM
202105120079125,800006050,kit benelli verde blanco180s,calcomania decorativa adhesiva automotriz de alto rendimiento para motos Auteco Mobility,4908909000,05/21/2021 07:42:44 AM,05/21/2022 12:00:00 AM
202105120079126,810004818,SISTEMA ELECTRICO PROAHO/LED DC MP,JUEGO DE CABLES PARA SISTEMAS ELECTRICOS DE MOTOCICLETAS,8544300000,05/13/2021 11:42:27 AM,05/13/2022 12:00:00 AM
202105120079129,890900308,TELA  ESTAMPADA DE  POLIESTER/ALGODÓN. LIGAMENTO TAFETAN,TEJIDO PLANO LIGAMENTO TAFETAN ESTAMPADO,5513410090,05/20/2021 12:09:56 PM,05/20/2022 12:00:00 AM
202105130078883,860000452,TEJIDO PLANO DE FIBRAS ARTIFICIALES ESTAMPADO,TEJIDO PLANO VISCOSA 100% ESTAMPADO,5516140000,05/20/2021 12:42:35 PM,05/20/2022 12:00:00 AM
202105130079011,860515812,AMORTIGUADOR TRASERO SUSPENSIONES MOTOCICLETAS,AMORTIGUADOR TRASERO SUSPENSIONES MOTOCICLETAS,8714109000,05/14/2021 08:46:01 AM,05/14/2022 12:00:00 AM
202105130079117,890801451,PARACHOQUE TRASERO B52 CROSS,PARACHOQUE TRASERO B52 CROSS,8708100000,05/14/2021 11:17:41 AM,05/14/2022 12:00:00 AM
202105130079118,890801451,PARACHOQUE DELANTERO B52 CROSS,PARACHOQUE DELANTERO B52 CROSS,8708100000,05/14/2021 11:38:05 AM,05/14/2022 12:00:00 AM
202105130079119,890801451,PARACHOQUE DELANTERO E1 H79,PARACHOQUE DELANTERO DE DEFENSA,8708100000,05/14/2021 11:51:59 AM,05/14/2022 12:00:00 AM
202105130079120,890801451,PARACHOQUE DELANTERO E1 H79 ARGENTINA,PARACHOQUE DELANTERO DEFENSA,8708100000,05/14/2021 12:06:25 PM,05/14/2022 12:00:00 AM
202105130079121,890801451,PARACHOQUE TRASERO L52,PARACHOQUE TRASERO L52 RADAR,8708100000,05/14/2021 12:58:28 PM,05/14/2022 12:00:00 AM
202105130079127,891411213,SPROCKET 38T 125 NKD MP 7701023376716,SPROCKET 38T 125 NKD MP 7701023376716,8714109000,05/14/2021 01:14:56 PM,05/14/2022 12:00:00 AM
202105130079139,900297782,GUANTE TERMICO PARA LAS FUERZAS MILITARES,GUANTE TERMICO EN POLIESTER 100% PARA LAS FUERZAS MILITARES,6116930000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079143,900297782,GORRA DE FAENA O PATO,GORRA DE FAENA O PATO FUERZAS MILITARES,6505009000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079144,900297782,GORRA DURA MARINERO,GORRA DURA MARINERO,6505009000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079145,900297782,UNIFORME DE NAVEGACIÓN PARA PERSONAL GUARDACOSTAS Y AVIACIÓN NAVAL,UNIFORME DE NAVEGACIÓN PARA PERSONAL GUARDACOSTAS Y AVIACIÓN NAVAL EN POLIESTER 100%  EN TEJIDO PLANO,6103102000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079147,900297782,GORRA NAVAL MASCULINO PARA LAS FUERZAS MILITARES,GORRA NAVAL MASCULINO PARA LAS FUERZAS MILITARES,6505009000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079148,900297782,GORRA NAVAL FEMENINA PARA LAS FUERZAS MILITARES,GORRA NAVAL FEMENINA PARA LAS FUERZAS MILITARES,6505009000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079149,900297782,CHAPA METÁLICA PARA CINTURÓN DE SERVICIO FUERZAS MILITARES,CHAPA METÁLICA EN LATÓN PARA CINTURÓN DE SERVICIO FUERZAS MILITARES,8308900000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079152,900297782,MANCORNAS,MANCORNAS,7117110000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079153,900297782,INSIGNIAS METALICAS,INSIGNIAS METALICAS PARA FUERZAS MILITARES,7117190000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079155,900297782,PISACORBATAS,PISACORBATAS,7117110000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079156,900297782,MEDALLAS PARA FUERZAS MILITARES Y POILICIA NACIONAL,MEDALLAS PARA FUERZAS MILITARES Y POILICIA NACIONAL,7117190000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079157,900297782,ANILLO PARA OFICIAL FEMENINO ARMADA NACIONAL,ANILLO PARA OFICIAL FEMENINO  ARMADA NACIONAL,7113190000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079158,900297782,ANILLO PARA OFICIAL MASCULINO ARMADA NACIONAL,ANILLO PARA OFICIAL MASCULINO ARMADA NACIONAL,7113190000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079159,900297782,BRAZALETES DISTINTIVOS,BRAZALETES DISTINTIVOS,3926200000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079160,900297782,ESPADA PARA OFICIAL DE INSIGNIA DE LA ARMADA NACIONAL,ESPADA PARA OFICIAL DE INSIGNIA DE LA ARMADA NACIONAL,9307000000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079161,900297782,SABLE PARA OFICIAL GENERAL Y OFICIAL SUPERIOR EJERCITO NACIONAL,SABLE PARA OFICIAL GENERAL Y OFICIAL SUPERIOR,9307000000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079164,16053605,GAFAS DE SEGURIDAD,GAFAS DE SEGURIDAD,9004901000,05/13/2021 12:00:00 AM,05/13/2022 12:00:00 AM
202105130079172,900297782,SABLE PARA OFICIAL SUBALTERNO Y SUBOFICIAL DEL EJERCITO NACIONAL,SABLE PARA OFICIAL SUBALTERNO Y SUBOFICIAL DEL EJERCITO NACIONAL,9307000000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079178,860001963,TELA TOALLA,TELA TOALLA ALGODON 93 AL 97% - POLIESTER 3 AL 7% EN TEJIDO DE PUNTO DE BUCLE,6001210000,05/20/2021 06:20:31 PM,05/20/2022 12:00:00 AM
202105130079179,860001963,TELA TOALLA EN TEJIDO DE PUNTO,TELA TOALLA ALGODON 80 AL 97% - POLIESTER 3 AL 20% EN TEJIDO DE PUNTO TIPO BUCLE,6001210000,05/20/2021 06:29:46 PM,05/20/2022 12:00:00 AM
202105130079181,860001963,TELA TOALLA DE FIBRAS SINTETICAS,TELA TOALLA DE FIBRAS SINTETICAS POLIESTER 100% EN TEJIDO DE PUNTO TIPO BUCLE.,6001220000,05/21/2021 07:44:35 AM,05/21/2022 12:00:00 AM
202105130079183,900297782,PLACAS,PLACAS FOTOGRABADAS EN LATON,7117190000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079184,900297782,MONEDAS CONMEMORATIVAS EN LATON,MONEDAS CONMEMORATIVAS ELABORADAS EN LATON.,7117190000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079185,900297782,BOTON METALICO,BOTON METALICO DORADO,9606220000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079186,900297782,ESPADA PARA OFICIAL SUBALTERNO DE LA ARMADA NACIONAL,ESPADA PARA OFICIAL SUBALTERNO DE LA ARMADA NACIONAL,9307000000,05/19/2021 12:00:00 AM,05/19/2022 12:00:00 AM
202105130079198,901057189,CAMISETA POLO PARA HOMBRE.,CAMISETA POLO EN TEJIDO DE PUNTO  100% POLIESTER,6105209000,05/24/2021 12:00:00 AM,05/24/2022 12:00:00 AM
202105130079199,901057189,CAMISETA POLO PARA  DAMA.,CAMISETA POLO EN TEJIDO PUNTO 100% POLIESTER,6106200000,05/24/2021 12:00:00 AM,05/24/2022 12:00:00 AM
202105130079200,79374574,GORRO PERSONAL MASCULINO (KEPIS) VARIAS REFERENCIAS EN TEJIDO PLANO 45% LANA 55% POLIESTER,GORRO PERSONAL MASCULINO (KEPIS) VARIAS REFERENCIAS EN TEJIDO PLANO 45% LANA 55% POLIESTER,6505009000,05/21/2021 11:20:44 AM,05/21/2022 12:00:00 AM
202105140079067,811003751,platina quilla mot 125flex mp,platina quilla mot 125flex mp,8714109000,05/18/2021 08:21:09 AM,05/18/2022 12:00:00 AM
202105140079073,811003751,Parrilla 125SC/JET5 V2 MP,Parrilla 125SC/JET5 V2 MP,8714109000,05/18/2021 08:51:45 AM,05/18/2022 12:00:00 AM
202105140079077,811003751,Parrilla 125SC/JET5 V3 MP,Parrilla 125SC/JET5 V3 MP,8714109000,05/18/2021 09:08:45 AM,05/18/2022 12:00:00 AM
202105140079187,890801451,PANEL PUERTA DELANTERA DERECHA - IZQUIERDA E1-E2 X52 SIN PADDING,PANEL INTERNO PARA PUERTAS DELANTERAS DERECHAS E IZQUIERDAS FABRICADAS EN PLASTICO PARA USO EN VEHICULOS AUTOMOTORES,8708292000,05/18/2021 09:27:50 AM,05/18/2022 12:00:00 AM
202105140079189,890801451,PARACHOQUE TRASERO L52 RADAR,PARACHOQUE TRASERO L52 RADAR,8708100000,05/18/2021 09:45:24 AM,05/18/2022 12:00:00 AM
202105140079211,901143303,UNIFORME N° 3  VERDE DAMA,UNIFORME N° 3 COLOR VERDE O HABANO PARA DAMA ELABORADO EN TELA  TAFETAN DE COMPOSICION MINIMO 43% EN LANA Y EL RESTO EN POLIESTER,6204130000,05/14/2021 05:13:35 PM,05/14/2022 12:00:00 AM
202105140079212,901143303,UNIFORME N° 3 VERDE  HOMBRE,UNIFORME No 3 PARA HOMBRE COMPUESTO POR SACO Y PANTALON,6203120000,05/14/2021 04:56:03 PM,05/14/2022 12:00:00 AM
202105140079228,860064081,HILADO DE ALGODON POLIESTER 52/48% TITULO NE 36/1 PEINADO.,HILADO DE ALGODON POLIESTER EN MEZCLAS DE 52% DE ALGODON Y 48% DE POLIESTER CRUDO,5206240000,05/21/2021 12:08:40 PM,05/21/2022 12:00:00 AM
202105140079229,860064081,HILADO DE ALGODON POLIESTER 60/40% CARDADO TITULO NE 50/2,HILADO DE ALGODON POLIESTER EN MEZCLAS DE 60% DE ALGODON Y 40% DE POLIESTER CRUDO,5206350000,05/21/2021 11:52:56 AM,05/21/2022 12:00:00 AM
202105140079232,811046226,Gbarro Inyectado Blanco CR5 MP,Gbarro Inyectado Blanco CR5 MP,8714109000,05/18/2021 10:05:44 AM,05/18/2022 12:00:00 AM
202105140079243,860001963,TERCIOPELO DE TEJIDO DE PUNTO ESTAMPADO 100% POLIESTER.,TERCIOPELO DE TEJIDO DE PUNTO ESTAMPADO 100% POLIESTER.,6001920000,05/21/2021 11:13:18 AM,05/21/2022 12:00:00 AM
202105140079246,900297782,CORBATA EN TEJIDO PLANO 100% POLIESTER,CORBATA EN TEJIDO PLANO 100% POLIESTER,6215200000,05/18/2021 10:58:22 AM,05/18/2022 12:00:00 AM
202105150079207,811003751,Defensa pulsar 125,Defensa pulsar 125,8714109000,05/18/2021 11:00:54 AM,05/18/2022 12:00:00 AM
202105150079208,811003751,Defensa pulsar 180,Defensa pulsar 180,8714109000,05/18/2021 11:14:05 AM,05/18/2022 12:00:00 AM
202105150079247,900370262,UNIFORME NUMERO 3 FEMENINO,UNIFORME NUMERO 3 DAMA FABRICADO EN TEJIDO MEZCLA DE LANA Y POLIESTER,6204130000,05/18/2021 11:02:51 AM,05/18/2022 12:00:00 AM
202105150079249,900370262,UNIFORME NUMERO 3 HOMBRE,UNIFORME NUMERO 3 HOMBRE FABRICADO EN TEJIDO MEZCLA DE LANA 28% Y POLIESTER 72%,6203120000,05/18/2021 11:00:42 AM,05/18/2022 12:00:00 AM
202105150079253,860040094,ACETILENO,ACETILENO,2901290000,05/21/2021 12:00:00 AM,05/21/2022 12:00:00 AM
202105170079262,901049062,MONEDAS CONMEMORATIVAS ELABORADAS EN LATON,MONEDAS CONMEMORATIVAS ELABORADAS EN LATON,7117190000,05/19/2021 03:01:24 PM,05/19/2022 12:00:00 AM
202105180079066,900809220,PARRILLA PICCOLO,PARRILLA TRASERA,8714109000,05/18/2021 03:18:57 PM,05/18/2022 12:00:00 AM
202105180079069,900809220,TIJERA B728/B735,TIJERA B728/B735,8714109000,05/18/2021 03:42:01 PM,05/18/2022 12:00:00 AM
202105180079074,900809220,MANUBRIO SZ15RR,MANUBRIO SZ15RR,8714109000,05/18/2021 03:54:36 PM,05/18/2022 12:00:00 AM
202105180079080,900809220,SOPORTE COLA BF2,SOPORTE COLA BF2,8714109000,05/18/2021 04:06:49 PM,05/18/2022 12:00:00 AM
202105180079105,900809220,ESTRIBO DERECHO BF2,ESTRIBO DERECHO BF2,8714109000,05/18/2021 04:29:38 PM,05/18/2022 12:00:00 AM
202105180079110,900809220,ESTRIBO IZQUIERDO BF2,ESTRIBO IZQUIERDO BF2,8714109000,05/18/2021 04:44:04 PM,05/18/2022 12:00:00 AM
202105180079111,900809220,SOPORTE MOTOR 1 1ED,SOPORTE MOTOR 1 1ED,8714109000,05/18/2021 04:58:55 PM,05/18/2022 12:00:00 AM
202105180079112,900809220,MANUBRIO BA4,MANUBRIO BA4,8714109000,05/18/2021 05:09:22 PM,05/18/2022 12:00:00 AM
202105180079195,830071528,TOP CASE 37 L ALUMI,TOP CASE 37 L ALUMI,8714109000,05/19/2021 10:20:04 AM,05/19/2022 12:00:00 AM
202105180079250,860000452,TEJIDOS ESPECIALES DE FIBRAS SINTETICAS,ENCAJES FABRICADOS A MAQUINA TEJIDO PUNTO NYLON 100%,5804210000,05/21/2021 01:23:22 PM,05/21/2022 12:00:00 AM
202105180079263,901049062,PLACAS FOTOGRABADAS EN LATON,PLACAS FOTOGRABADAS EN LATON,7117190000,05/19/2021 03:05:24 PM,05/19/2022 12:00:00 AM
202105180079269,900450642,UNIFORME N3 DAMA CAMISA,UNIFORME N3 DAMA CAMISA,6204130000,05/18/2021 11:08:18 AM,05/18/2022 12:00:00 AM
202105180079271,860061577,Tablero para marcador borrable,Tablero para marcador borrable,9610000000,05/24/2021 12:00:00 AM,05/24/2022 12:00:00 AM
202105180079272,860061577,Puesto de Trabajo Docente (Mesa y silla),Puesto de Trabajo Docente,9403200000,05/24/2021 12:00:00 AM,05/24/2022 12:00:00 AM
202105180079273,860001963,TEJIDOS DE PUNTO DE FIBRAS SINTETICAS.,TEJIDOS DE PUNTO DE FIBRAS SINTETICAS POLIAMIDA (NYLON) ENTRE 5% Y 25% POLIESTER ENTRE 75% Y 95%. TERCIOPELO,6001920000,05/21/2021 03:18:24 PM,05/21/2022 12:00:00 AM
202105180079274,860061577,Puesto de Trabajo Alumno Básica Primaria (Mesa y silla),Puesto de Trabajo Alumno Básica Primaria,9403200000,05/18/2021 12:00:00 AM,05/18/2022 12:00:00 AM
202105180079275,860061577,Puesto de Trabajo Alumno Secundaria (Mesa y silla),Puesto de Trabajo Alumno Secundaria (Mesa y silla),9403200000,05/24/2021 12:00:00 AM,05/24/2022 12:00:00 AM
202105180079278,900800050,Calcomania guardabarro delantero,CALCOMANIA DECORATIVA ADHESIVA PARA MOTO,4908909000,05/24/2021 08:24:52 AM,05/24/2022 12:00:00 AM
202105180079279,860001963,TELA EN TEJIDO DE PUNTO CON ANCHURA INFERIOR O IGUAL A 30 CM CON ELASTOMEROS,TELA EN TEJIDO DE PUNTO CON ANCHURA INFERIOR O IGUAL A 30 CM CON ELASTOMEROS ELASTAN 16% AL 25% POLIAMIDA NYLON 75% AL 84%,6002400000,05/21/2021 03:42:38 PM,05/21/2022 12:00:00 AM
202105180079283,900719304,VESTIDO SASTRE PARA HOMBRE (UNIFORME No.3). HOMBRE (UNIFORME No.3).,VESTIDO SASTRE PARA  HOMBRE (UNIFORME No. 3) COMPUESTO POR SACO Y PANTALON,6203120000,05/19/2021 08:47:29 AM,05/19/2022 12:00:00 AM
202105180079286,890801451,PARACHOQUE TRASERO E1 H79,PARACHOQUE TRASERO E1 H79,8708100000,05/19/2021 10:38:56 AM,05/19/2022 12:00:00 AM
202105180079288,900719304,VESTIDO SASTRE PARA DAMA (UNIFORME No.3).,VESTIDO SASTRE PARA DAMA (UNIFORME No.3),6204130000,05/19/2021 08:45:32 AM,05/19/2022 12:00:00 AM
202105180079292,860001963,TEJIDOS DE PUNTO CON HILADOS DE ELASTOMEROS CON PORCENTAJE MAYOR O IGUAL AL 5% DE ELASTAN.POLIESTER - ELASTAN.,TEJIDOS DE PUNTO CON HILADOS DE ELASTOMEROS CON PORCENTAJE MAYOR O IGUAL AL 5% DE ELASTAN POLIESTER 68% AL 95% - ELASTAN 5% AL 32%,6004100000,05/24/2021 08:55:58 AM,05/24/2022 12:00:00 AM
